geometry_id,run_id,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,gun_energy_GeV,detect_threshold_GeV,detection_efficiency,eff_lo,eff_hi,energy_resolution
cb378c36,run60b2be70b8,10,3,3,4,3.8724,3.9697,4.115,0.5868,0.3181,0.3453,0.1,5.0,,0.6643333333333333,0.008675069739874641,0.008565550690668888,0.4162714990717946
dda378bf,run533d125950,10,3,3,4,4.2293,4.1557,3.6799,0.4006,0.3058,0.4012,0.1,5.0,,0.7033333333333334,0.008406416139938977,0.008270905754511948,0.3655604699125218
dda378bf,runceed949adb,10,3,3,4,4.2293,4.1557,3.6799,0.4006,0.3058,0.4012,0.1,5.0,,0.694,0.00847705207790006,0.008347761841312362,0.41338295522312113
dda378bf,run1ea6ad10e7,10,3,3,4,4.2293,4.1557,3.6799,0.4006,0.3058,0.4012,0.1,5.0,,0.6866666666666666,0.008529697537220104,0.008405294560434595,0.3987695380327273
d53854cc,rundd0e319ce0,10,3,3,4,4.1191,4.3773,4.4058,0.5944,0.5605,0.5751,0.1,5.0,,0.6683333333333333,0.008650653961961075,0.008538469134681259,0.35577017549818424
d53854cc,run1b8df576f5,10,3,3,4,4.1191,4.3773,4.4058,0.5944,0.5605,0.5751,0.1,5.0,,0.6983333333333334,0.008444768259186275,0.008312590096351768,0.3535722155151427
d53854cc,runa33dce54e7,10,3,3,4,4.1191,4.3773,4.4058,0.5944,0.5605,0.5751,0.1,5.0,,0.6606666666666666,0.008696841808622513,0.008589766389317854,0.3444236944668307
fe3add39,run99c16e7eb6,10,3,3,4,4.0136,4.1314,3.9791,0.4053,0.5255,0.513,0.1,5.0,,0.6753333333333333,0.008606239523152426,0.008489389584243168,0.3449292168862362
fe3add39,rundaf078cf1d,10,3,3,4,4.0136,4.1314,3.9791,0.4053,0.5255,0.513,0.1,5.0,,0.679,0.008582108174290615,0.008462814605480262,0.3417443027639578
fe3add39,run7ecc3c8c05,10,3,3,4,4.0136,4.1314,3.9791,0.4053,0.5255,0.513,0.1,5.0,,0.6883333333333334,0.008517950222849624,0.00839243650519994,0.3378123052576915
d6202599,run019e351b36,10,3,3,4,3.6436,4.114,4.2203,0.5653,0.3205,0.563,0.1,5.0,,0.6873333333333334,0.00852501387865523,0.008400166605524007,0.3720515359758935
d6202599,runf8d1796a4b,10,3,3,4,3.6436,4.114,4.2203,0.5653,0.3205,0.563,0.1,5.0,,0.6836666666666666,0.008550523108074914,0.008428119464844785,0.36265588603550303
d6202599,run5eb89b1b58,10,3,3,4,3.6436,4.114,4.2203,0.5653,0.3205,0.563,0.1,5.0,,0.6813333333333333,0.008566438388876496,0.008445589782856255,0.36252148401437184
8497a2ba,run220bd8b0d0,10,3,3,4,4.0751,4.1755,3.8402,0.4036,0.4854,0.5385,0.1,5.0,,0.698,0.008447282944968215,0.008315326930306455,0.34836609740067054
8497a2ba,rune373322870,10,3,3,4,4.0751,4.1755,3.8402,0.4036,0.4854,0.5385,0.1,5.0,,0.6883333333333334,0.008517950222849624,0.00839243650519994,0.3363092184653494
8497a2ba,run8f3877ba31,10,3,3,4,4.0751,4.1755,3.8402,0.4036,0.4854,0.5385,0.1,5.0,,0.6796666666666666,0.00857765605997396,0.008457918194817893,0.3730782161943328
26797700,runaa80e769d5,10,3,3,4,3.7158,3.905,4.0052,0.5627,0.4442,0.5707,0.1,5.0,,0.7016666666666667,0.008419332272605051,0.008284932628042196,0.35354797086707407
26797700,run11f45ba3d3,10,3,3,4,3.7158,3.905,4.0052,0.5627,0.4442,0.5707,0.1,5.0,,0.706,0.00838547352921959,0.008248185958409926,0.363859377621098
26797700,run372e2b8c83,10,3,3,4,3.7158,3.905,4.0052,0.5627,0.4442,0.5707,0.1,5.0,,0.7046666666666667,0.008395987543994399,0.008259588565875942,0.34874192928234893
9ad7ca57,runefd1e4c79f,10,3,3,4,4.1685,3.8945,4.1075,0.3844,0.3587,0.4969,0.1,5.0,,0.672,0.008627658586605969,0.008513030129425059,0.36081652464469777
9ad7ca57,run0554e627ec,10,3,3,4,4.1685,3.8945,4.1075,0.3844,0.3587,0.4969,0.1,5.0,,0.676,0.008601896592722036,0.008484602357467064,0.3607470125834722
9ad7ca57,run45b47b6a3e,10,3,3,4,4.1685,3.8945,4.1075,0.3844,0.3587,0.4969,0.1,5.0,,0.6626666666666666,0.00868503805499421,0.008576629746652631,0.33756384724278476
05e49f88,run2888efe947,10,3,3,4,4.4183,4.2033,3.905,0.311,0.5625,0.5886,0.1,5.0,,0.631,0.008852116404815646,0.008764812172892933,0.35419714636173705
05e49f88,run43fdb64609,10,3,3,4,4.4183,4.2033,3.905,0.311,0.5625,0.5886,0.1,5.0,,0.631,0.008852116404815646,0.008764812172892933,0.3696373499983225
05e49f88,run996f560110,10,3,3,4,4.4183,4.2033,3.905,0.311,0.5625,0.5886,0.1,5.0,,0.631,0.008852116404815646,0.008764812172892933,0.3513921507566826
